transaction date,Order_ID,Product Name ,sku_code,Category,Supplier,Customer,Region,Warehouse,Demand Units,Forecast,Sales,Revenue ৳,Total Cost,COGS,Average_Inventory,Inventory,Order_Date,Received_Date,Lead_Time,Promised delivery,Actual Delivery,Delivery_Time,Defective_Units,Total_Units,Shipment_Cost,Carrier,Route,Shipment_ID,Production_Quantity,Planned_Production,Capacity,Maximum_Capacity,Downtime,Inbound_Quantity,Outbound_Quantity,Space_Used,Space_Capacity,Picks,Accurate_Picks,Stockout_Event,Fulfilled_Orders,Total_Orders,Cost_Category,Procurement_Cost,Logistics_Cost,Last_Movement_Date,Status,Notes
2025-03-01 00:00:00,ORD-10059,Streetwear Tee,SKU-SWT-005,Apparel,Eastern Traders,Online Direct,Chattogram,WH-Chattogram,194.0,196,184,96684.36,61581.8,66456.13,297,321,2025-02-15,2025-03-02,15,2025-02-24,2025-03-02,15,2,193,4627.95,RouteX,Dhaka-Sylhet,SHP-20059,174,185,265,269,0.23,163,207,799,962,74,71,0,176,194,Quality,42098.63,5057.23,2025-02-12,Late,
2025-03-02 00:00:00,ORD-10060,Streetwear Tee,SKU-SWT-005,Apparel,Green Agro,Retail Hub,Khulna,WH-Sylhet,57.0,49,36,29942.37,16264.34,14964.97,339,358,2025-02-24,2025-02-26,2,2025-03-08,2025-03-08,12,1,73,359.23,BD Courier,Dhaka-Sylhet,SHP-20060,54,54,100,105,3.72,123,205,693,760,42,39,0,28,57,Procurement,8265.69,385.39,2025-01-14,On Time,Promo spike
2025-03-03 00:00:00,ORD-10061,Notebook Set,SKU-NBS-007,Stationery,Green Agro,Retail Hub,Rajshahi,WH-Chattogram,61.0,54,61,24085.39,15626.1,15607.07,271,194,2025-02-25,2025-03-12,15,2025-03-09,2025-03-10,13,0,68,1020.82,BD Courier,Dhaka-Rajshahi,SHP-20061,56,73,100,109,11.24,233,87,589,714,95,92,0,59,61,Production,10658.78,1039.81,2025-01-23,Late,Quality inspection
2025-03-04 00:00:00,ORD-10062,Football Jersey,SKU-FBJ-006,Sports,Apex Textiles,Wholesale Mart,Dhaka,WH-Dhaka,149.0,151,142,26258.31,15424.15,14688.58,143,201,2025-02-19,2025-03-04,13,2025-02-26,2025-02-25,6,0,181,2012.48,BD Courier,Khulna-Dhaka,SHP-20062,159,173,179,203,3.5,230,237,816,1018,95,90,0,133,149,Logistics,8663.5,2159.66,2025-02-18,On Time,Promo spike
2025-03-05 00:00:00,ORD-10063,Reusable Bottle,SKU-RBT-008,Lifestyle,Green Agro,Wholesale Mart,Khulna,WH-Chattogram,205.0,240,181,102629.31,68345.62,68694.27,99,77,2025-02-15,2025-02-28,13,2025-02-24,2025-03-02,15,0,231,2928.13,TransBangla,Chattogram-Sylhet,SHP-20063,172,211,197,218,2.21,92,123,832,1232,72,65,0,180,205,Quality,34487.4,2657.36,2025-01-07,Late,Quality inspection
2025-03-06 00:00:00,ORD-10064,Shampoo Mist,SKU-SHM-001,Personal Care,Nova Chemicals,Campus Store,Khulna,WH-Chattogram,58.0,56,41,21029.41,14845.42,15077.93,263,336,2025-03-03,2025-03-11,8,2025-03-12,2025-03-15,12,0,52,863.32,TransBangla,Chattogram-Sylhet,SHP-20064,33,68,100,108,1.15,246,74,1153,1484,127,122,0,35,58,Production,9364.79,766.32,2025-02-06,Late,Quality inspection
2025-03-07 00:00:00,ORD-10065,Hair Oil,SKU-HRO-002,Personal Care,Eastern Traders,Campus Store,Sylhet,WH-Dhaka,191.0,168,175,47545.73,35851.52,37095.57,267,217,2025-02-20,2025-03-02,10,2025-03-02,2025-03-08,16,1,195,5924.75,BD Courier,Chattogram-Sylhet,SHP-20065,192,211,216,224,1.28,235,235,380,815,127,127,0,172,191,Procurement,23615.59,4972.95,2025-02-22,Late,Normal
2025-03-08 00:00:00,ORD-10066,Shampoo Mist,SKU-SHM-001,Personal Care,Nova Chemicals,Pharmacy Chain,Dhaka,WH-Dhaka,207.0,218,200,113725.41,78610.19,83574.99,247,296,2025-02-24,2025-03-07,11,2025-03-09,2025-03-15,19,6,240,2821.93,FastMove,Khulna-Dhaka,SHP-20066,208,213,249,256,2.42,219,173,612,926,90,90,0,192,207,Quality,50626.21,2356.73,2025-01-07,Late,
2025-03-09 00:00:00,ORD-10067,Face Serum,SKU-FSR-003,Beauty,Nova Chemicals,Pharmacy Chain,Rajshahi,WH-Dhaka,233.0,242,223,151939.28,90299.42,96608.48,163,123,2025-02-26,2025-03-13,15,2025-03-04,2025-03-10,12,0,252,2935.0,RouteX,Khulna-Dhaka,SHP-20067,246,273,377,419,1.47,84,139,549,948,104,103,0,216,233,Warehouse,47404.68,2891.14,2025-01-14,Late,Normal
2025-03-10 00:00:00,ORD-10068,Kalai Roti Pack,SKU-KRP-004,Food,Apex Textiles,Online Direct,Rajshahi,WH-Sylhet,123.0,101,98,71385.3,48742.27,46823.66,223,196,2025-03-08,2025-03-13,5,2025-03-15,2025-03-18,10,3,120,2355.82,FastMove,Dhaka-Chattogram,SHP-20068,101,102,126,132,1.74,132,238,637,989,156,151,0,94,123,Warehouse,28743.93,2052.48,2025-02-22,Late,Demand surge
2025-03-11 00:00:00,ORD-10069,Reusable Bottle,SKU-RBT-008,Lifestyle,Nova Chemicals,Retail Hub,Rajshahi,WH-Chattogram,170.0,145,157,33427.67,24132.9,23144.38,146,0,2025-03-03,2025-03-10,7,2025-03-10,2025-03-11,8,1,196,1353.01,BD Courier,Dhaka-Rajshahi,SHP-20069,176,194,207,241,0.87,235,204,1020,1457,63,58,1,155,170,Quality,15331.95,1324.76,2025-03-03,Late,Quality inspection
2025-03-12 00:00:00,ORD-10070,Face Serum,SKU-FSR-003,Beauty,Eastern Traders,Retail Hub,Khulna,WH-Dhaka,47.0,45,34,9485.79,6228.34,6070.39,230,147,2025-02-23,2025-03-07,12,2025-03-06,2025-03-05,10,1,37,364.45,FastMove,Dhaka-Chattogram,SHP-20070,22,0,100,105,3.7,123,44,1049,1214,130,128,0,33,47,Procurement,2908.58,410.65,2025-01-13,On Time,Demand surge
2025-03-13 00:00:00,ORD-10071,Face Serum,SKU-FSR-003,Beauty,Green Agro,Campus Store,Khulna,WH-Sylhet,149.0,124,124,57754.91,33755.12,32404.74,292,389,2025-03-09,2025-03-21,12,2025-03-23,2025-03-29,20,0,141,3449.09,RouteX,Dhaka-Rajshahi,SHP-20071,137,160,169,185,0.42,213,42,762,1419,147,141,0,114,149,Warehouse,18616.18,2883.63,2025-01-22,Late,Demand surge
2025-03-14 00:00:00,ORD-10072,Hair Oil,SKU-HRO-002,Personal Care,Eastern Traders,Retail Hub,Chattogram,WH-Dhaka,77.0,81,75,50459.15,28181.66,25451.75,250,260,2025-03-06,2025-03-17,11,2025-03-12,2025-03-23,17,1,71,1684.79,TransBangla,Dhaka-Rajshahi,SHP-20072,73,78,100,116,1.78,223,178,670,1039,55,54,0,67,77,Warehouse,16507.62,1932.67,2025-01-26,Late,Normal
2025-03-15 00:00:00,ORD-10073,Hair Oil,SKU-HRO-002,Personal Care,Nova Chemicals,Campus Store,Dhaka,WH-Chattogram,58.0,59,38,14318.23,10852.13,10170.05,285,270,2025-03-01,2025-03-04,3,2025-03-14,2025-03-14,13,0,63,787.12,TransBangla,Dhaka-Rajshahi,SHP-20073,31,40,100,114,2.73,212,79,945,1457,112,111,0,37,58,Warehouse,6214.48,669.06,2025-03-15,On Time,Quality inspection
2025-03-16 00:00:00,ORD-10074,Football Jersey,SKU-FBJ-006,Sports,Delta Packaging,Retail Hub,Chattogram,WH-Dhaka,210.0,206,193,111826.67,66453.26,71287.31,197,148,2025-03-14,2025-03-20,6,2025-03-24,2025-03-25,11,5,205,2836.73,BD Courier,Khulna-Dhaka,SHP-20074,216,222,288,297,2.76,147,83,494,842,88,73,0,191,210,Logistics,30340.26,3388.25,2025-03-12,Late,Quality inspection
2025-01-02 00:00:00,ORD-10001,Reusable Bottle,SKU-RBT-008,Lifestyle,Eastern Traders,Retail Hub,Rajshahi,WH-Dhaka,136.0,119,118,37576.84,18768.71,20144.4,300,402,2024-12-19,2024-12-25,6,2024-12-30,2025-01-02,14,1,149,4068.26,RouteX,Chattogram-Sylhet,SHP-20001,129,149,148,155,2.84,224,205,587,773,63,55,0,115,136,Production,11548.68,3407.0,2024-12-23,Late,Quality inspection
2025-01-03 00:00:00,ORD-10002,Streetwear Tee,SKU-SWT-005,Apparel,Eastern Traders,Campus Store,Sylhet,WH-Dhaka,115.0,101,103,38395.66,20698.15,20266.1,321,308,2024-12-18,2024-12-22,4,2024-12-26,2024-12-26,8,2,120,3019.43,BD Courier,Dhaka-Chattogram,SHP-20002,138,167,206,222,1.37,106,75,856,1221,32,31,0,101,115,Logistics,14193.29,3261.18,2024-11-24,On Time,
